Year_no,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Year
2013,17617.5,17640.1,17668.2,17709.9,17710.6,17726.7,17708.7,17766.3,17779.8,17788.5,17815.8,17824.3,17729.7,2013
2014,17835.8,17863.9,17898.2,17913.7,17960.8,17986.8,18030.7,18072.7,18106.3,18143.4,18195.6,18243.1,18020.9,2014
2015,18301.4,18340.8,18377.5,18452.7,18504.0,18538.4,18582.0,18620.0,18666.9,18724.6,18758.3,18797.0,18555.3,2015
2016,18837.3,18883.0,18914.0,18952.8,18998.5,19048.5,19099.9,19146.9,19185.4,19220.7,19253.6,19306.5,19070.6,2016
2017,19329.5,19368.7,19392.9,19444.2,19472.7,19525.1,19571.2,19590.5,19600.3,19622.0,19655.5,19684.4,19521.4,2017
2018,19736.3,19784.8,19815.4,19838.5,19876.7,19897.1,19918.1,19960.8,19993.5,20037.1,20064.2,20133.2,19921.3,2018
2019,20170.9,20198.0,20261.9,20318.2,20351.4,20398.6,20431.5,20493.0,20536.5,20572.5,20635.2,20677.0,20420.4,2019
2020,20726.9,20778.2,20650.7,18477.1,18858.3,19339.9,19525.3,19659.4,19771.5,19859.5,19911.1,19978.7,19794.7,2020
2021,19901.0,19945.7,20014.7,20045.2,20065.2,20063.9,20085.2,20090.9,20096.8,20125.9,20157.8,20188.6,20065.1,2021
2022,20167.7,20263.5,20307.5,20351.8,20408.7,20488.9,20590.7,20668.8,20740.5,20814.5,20897.1,20970.2,20555.8,2022